[Hz],FFT[dBm]
0.0000000E+00,-3.50654E+01
1.2207031E+03,-3.81654E+01
2.4414062E+03,-7.49854E+01
3.6621094E+03,-7.82854E+01
4.8828125E+03,-5.68054E+01
6.1035156E+03,-5.42254E+01
7.3242188E+03,-5.56254E+01
8.5449219E+03,-5.63654E+01
9.7656250E+03,-5.28454E+01
1.0986328E+04,-5.53454E+01
1.2207031E+04,-6.52654E+01
1.3427734E+04,-6.16654E+01
1.4648438E+04,-5.72454E+01
1.5869141E+04,-5.32254E+01
1.7089844E+04,-4.91654E+01
1.8310547E+04,-5.16054E+01
1.9531250E+04,-5.80854E+01
2.0751953E+04,-5.76254E+01
2.1972656E+04,-5.77254E+01
2.3193359E+04,-6.21254E+01
2.4414062E+04,-5.94454E+01
2.5634766E+04,-6.89454E+01
2.6855469E+04,-6.19254E+01
2.8076172E+04,-5.34054E+01
2.9296875E+04,-5.57854E+01
3.0517578E+04,-6.32254E+01
3.1738281E+04,-6.41454E+01
3.2958984E+04,-5.98454E+01
3.4179688E+04,-5.86054E+01
3.5400391E+04,-6.06254E+01
3.6621094E+04,-7.22054E+01
3.7841797E+04,-5.70254E+01
3.9062500E+04,-5.60254E+01
4.0283203E+04,-6.99254E+01
4.1503906E+04,-8.35254E+01
4.2724609E+04,-6.33254E+01
4.3945312E+04,-6.85254E+01
4.5166016E+04,-5.54654E+01
4.6386719E+04,-5.50454E+01
4.7607422E+04,-5.87454E+01
4.8828125E+04,-5.04054E+01
5.0048828E+04,-4.24254E+01
5.1269531E+04,-4.87454E+01
5.2490234E+04,-6.24654E+01
5.3710938E+04,-6.22254E+01
5.4931641E+04,-5.81654E+01
5.6152344E+04,-6.04854E+01
5.7373047E+04,-5.62054E+01
5.8593750E+04,-5.07254E+01
5.9814453E+04,-5.16454E+01
6.1035156E+04,-5.10854E+01
6.2255859E+04,-5.66254E+01
6.3476562E+04,-6.74654E+01
6.4697266E+04,-6.14654E+01
6.5917969E+04,-6.31454E+01
6.7138672E+04,-7.04654E+01
6.8359375E+04,-5.62454E+01
6.9580078E+04,-5.98854E+01
7.0800781E+04,-6.33254E+01
7.2021484E+04,-5.52454E+01
7.3242188E+04,-5.38454E+01
7.4462891E+04,-5.67454E+01
7.5683594E+04,-6.20454E+01
7.6904297E+04,-6.34854E+01
7.8125000E+04,-5.33054E+01
7.9345703E+04,-5.12054E+01
8.0566406E+04,-5.54054E+01
8.1787109E+04,-5.59854E+01
8.3007812E+04,-5.18454E+01
8.4228516E+04,-5.35254E+01
8.5449219E+04,-5.52854E+01
8.6669922E+04,-5.35454E+01
8.7890625E+04,-5.46254E+01
8.9111328E+04,-5.88054E+01
9.0332031E+04,-6.11054E+01
9.1552734E+04,-6.40254E+01
9.2773438E+04,-6.10454E+01
9.3994141E+04,-5.93654E+01
9.5214844E+04,-6.40054E+01
9.6435547E+04,-6.35454E+01
9.7656250E+04,-6.39054E+01
9.8876953E+04,-6.22654E+01
1.0009766E+05,-5.72454E+01
1.0131836E+05,-5.52054E+01
1.0253906E+05,-5.73654E+01
1.0375977E+05,-5.79054E+01
1.0498047E+05,-5.53454E+01
1.0620117E+05,-5.50854E+01
1.0742188E+05,-5.90254E+01
1.0864258E+05,-6.11254E+01
1.0986328E+05,-6.02254E+01
1.1108398E+05,-5.51854E+01
1.1230469E+05,-5.04254E+01
1.1352539E+05,-5.13254E+01
1.1474609E+05,-5.40854E+01
1.1596680E+05,-5.92654E+01
1.1718750E+05,-6.02654E+01
1.1840820E+05,-5.57054E+01
1.1962891E+05,-6.29054E+01
1.2084961E+05,-6.41654E+01
1.2207031E+05,-6.31854E+01
1.2329102E+05,-6.37854E+01
1.2451172E+05,-5.33254E+01
1.2573242E+05,-5.58254E+01
1.2695312E+05,-6.37254E+01
1.2817383E+05,-5.97454E+01
1.2939453E+05,-5.44454E+01
1.3061523E+05,-5.55854E+01
1.3183594E+05,-6.54854E+01
1.3305664E+05,-6.00454E+01
1.3427734E+05,-5.68854E+01
1.3549805E+05,-5.44654E+01
1.3671875E+05,-5.93054E+01
1.3793945E+05,-6.12254E+01
1.3916016E+05,-5.65654E+01
1.4038086E+05,-5.14254E+01
1.4160156E+05,-5.45054E+01
1.4282227E+05,-6.33654E+01
1.4404297E+05,-5.74654E+01
1.4526367E+05,-5.71654E+01
1.4648438E+05,-6.30454E+01
1.4770508E+05,-6.07454E+01
1.4892578E+05,-6.05654E+01
1.5014648E+05,-5.75654E+01
1.5136719E+05,-6.21254E+01
1.5258789E+05,-5.42054E+01
1.5380859E+05,-5.57254E+01
1.5502930E+05,-6.57854E+01
1.5625000E+05,-5.78254E+01
1.5747070E+05,-5.92654E+01
1.5869141E+05,-5.98854E+01
1.5991211E+05,-5.76054E+01
1.6113281E+05,-5.70854E+01
1.6235352E+05,-5.40254E+01
1.6357422E+05,-5.67654E+01
1.6479492E+05,-5.46654E+01
1.6601562E+05,-5.64254E+01
1.6723633E+05,-5.83654E+01
1.6845703E+05,-5.72254E+01
1.6967773E+05,-7.61854E+01
1.7089844E+05,-5.95854E+01
1.7211914E+05,-5.18854E+01
1.7333984E+05,-5.46254E+01
1.7456055E+05,-7.25854E+01
1.7578125E+05,-5.61654E+01
1.7700195E+05,-5.39854E+01
1.7822266E+05,-5.54854E+01
1.7944336E+05,-6.16854E+01
1.8066406E+05,-6.68054E+01
1.8188477E+05,-5.95454E+01
1.8310547E+05,-6.45854E+01
1.8432617E+05,-6.95854E+01
1.8554688E+05,-5.92254E+01
1.8676758E+05,-5.35854E+01
1.8798828E+05,-5.98454E+01
1.8920898E+05,-5.49254E+01
1.9042969E+05,-5.77454E+01
1.9165039E+05,-5.35854E+01
1.9287109E+05,-5.57054E+01
1.9409180E+05,-6.29854E+01
1.9531250E+05,-6.86854E+01
1.9653320E+05,-6.74054E+01
1.9775391E+05,-5.65254E+01
1.9897461E+05,-5.06854E+01
2.0019531E+05,-5.25654E+01
2.0141602E+05,-5.04054E+01
2.0263672E+05,-4.97454E+01
2.0385742E+05,-5.65854E+01
2.0507812E+05,-5.45454E+01
2.0629883E+05,-5.78054E+01
2.0751953E+05,-5.99254E+01
2.0874023E+05,-6.65654E+01
2.0996094E+05,-5.90054E+01
2.1118164E+05,-5.63654E+01
2.1240234E+05,-5.61654E+01
2.1362305E+05,-5.74054E+01
2.1484375E+05,-5.24654E+01
2.1606445E+05,-5.38054E+01
2.1728516E+05,-7.21254E+01
2.1850586E+05,-5.72254E+01
2.1972656E+05,-6.21054E+01
2.2094727E+05,-6.86054E+01
2.2216797E+05,-6.89454E+01
2.2338867E+05,-6.42654E+01
2.2460938E+05,-5.69654E+01
2.2583008E+05,-5.21654E+01
2.2705078E+05,-5.31254E+01
2.2827148E+05,-5.30254E+01
2.2949219E+05,-5.25454E+01
2.3071289E+05,-5.56654E+01
2.3193359E+05,-5.46854E+01
2.3315430E+05,-6.70054E+01
2.3437500E+05,-6.70054E+01
2.3559570E+05,-6.13854E+01
2.3681641E+05,-5.61854E+01
2.3803711E+05,-5.78254E+01
2.3925781E+05,-5.71654E+01
2.4047852E+05,-5.68254E+01
2.4169922E+05,-5.26054E+01
2.4291992E+05,-5.28054E+01
2.4414062E+05,-5.80254E+01
2.4536133E+05,-5.52854E+01
2.4658203E+05,-5.83654E+01
2.4780273E+05,-6.03854E+01
2.4902344E+05,-5.29454E+01
2.5024414E+05,-5.05854E+01
2.5146484E+05,-5.50454E+01
2.5268555E+05,-6.70054E+01
2.5390625E+05,-5.64054E+01
2.5512695E+05,-6.60254E+01
2.5634766E+05,-5.65854E+01
2.5756836E+05,-5.69054E+01
2.5878906E+05,-5.87254E+01
2.6000977E+05,-5.95054E+01
2.6123047E+05,-7.18254E+01
2.6245117E+05,-6.77254E+01
2.6367188E+05,-6.00854E+01
2.6489258E+05,-5.84854E+01
2.6611328E+05,-5.99254E+01
2.6733398E+05,-5.77454E+01
2.6855469E+05,-6.94454E+01
2.6977539E+05,-6.52054E+01
2.7099609E+05,-7.99654E+01
2.7221680E+05,-5.68254E+01
2.7343750E+05,-5.28854E+01
2.7465820E+05,-5.24854E+01
2.7587891E+05,-5.61854E+01
2.7709961E+05,-5.95854E+01
2.7832031E+05,-5.50254E+01
2.7954102E+05,-5.21254E+01
2.8076172E+05,-5.28854E+01
2.8198242E+05,-5.29054E+01
2.8320312E+05,-5.15854E+01
2.8442383E+05,-5.75854E+01
2.8564453E+05,-6.25654E+01
2.8686523E+05,-5.60454E+01
2.8808594E+05,-4.92654E+01
2.8930664E+05,-4.90654E+01
2.9052734E+05,-5.58054E+01
2.9174805E+05,-6.11254E+01
2.9296875E+05,-6.07854E+01
2.9418945E+05,-5.98854E+01
2.9541016E+05,-5.44454E+01
2.9663086E+05,-4.93454E+01
2.9785156E+05,-5.08854E+01
2.9907227E+05,-4.98854E+01
3.0029297E+05,-5.17254E+01
3.0151367E+05,-6.16654E+01
3.0273438E+05,-5.43654E+01
3.0395508E+05,-5.38054E+01
3.0517578E+05,-5.73454E+01
3.0639648E+05,-5.61054E+01
3.0761719E+05,-5.43654E+01
3.0883789E+05,-6.25054E+01
3.1005859E+05,-6.76854E+01
3.1127930E+05,-5.62854E+01
3.1250000E+05,-5.31254E+01
3.1372070E+05,-5.56454E+01
3.1494141E+05,-5.58854E+01
3.1616211E+05,-5.82454E+01
3.1738281E+05,-5.99654E+01
3.1860352E+05,-6.20654E+01
3.1982422E+05,-7.93654E+01
3.2104492E+05,-6.15454E+01
3.2226562E+05,-5.80854E+01
3.2348633E+05,-6.58854E+01
3.2470703E+05,-5.89054E+01
3.2592773E+05,-5.98454E+01
3.2714844E+05,-6.55854E+01
3.2836914E+05,-6.31854E+01
3.2958984E+05,-6.59054E+01
3.3081055E+05,-6.46054E+01
3.3203125E+05,-6.55654E+01
3.3325195E+05,-6.22454E+01
3.3447266E+05,-8.75454E+01
3.3569336E+05,-6.15654E+01
3.3691406E+05,-6.45054E+01
3.3813477E+05,-6.42254E+01
3.3935547E+05,-6.49854E+01
3.4057617E+05,-6.52854E+01
3.4179688E+05,-5.52454E+01
3.4301758E+05,-5.48054E+01
3.4423828E+05,-5.81254E+01
3.4545898E+05,-6.07054E+01
3.4667969E+05,-6.91254E+01
3.4790039E+05,-6.39854E+01
3.4912109E+05,-6.17054E+01
3.5034180E+05,-5.65054E+01
3.5156250E+05,-5.84854E+01
3.5278320E+05,-5.77454E+01
3.5400391E+05,-5.79054E+01
3.5522461E+05,-5.82854E+01
3.5644531E+05,-5.78654E+01
