[s],CH1[V]
-7.79950E-06,1.339E-02
-7.79900E-06,1.299E-02
-7.79850E-06,1.339E-02
-7.79800E-06,1.339E-02
-7.79750E-06,1.339E-02
-7.79700E-06,1.299E-02
-7.79650E-06,1.339E-02
-7.79600E-06,1.339E-02
-7.79550E-06,1.339E-02
-7.79500E-06,1.339E-02
-7.79450E-06,1.339E-02
-7.79400E-06,1.339E-02
-7.79350E-06,1.339E-02
-7.79300E-06,1.339E-02
-7.79250E-06,1.379E-02
-7.79200E-06,1.339E-02
-7.79150E-06,1.339E-02
-7.79100E-06,1.339E-02
-7.79050E-06,1.379E-02
-7.79000E-06,1.379E-02
-7.78950E-06,1.379E-02
-7.78900E-06,1.379E-02
-7.78850E-06,1.379E-02
-7.78800E-06,1.379E-02
-7.78750E-06,1.419E-02
-7.78700E-06,1.379E-02
-7.78650E-06,1.419E-02
-7.78600E-06,1.379E-02
-7.78550E-06,1.419E-02
-7.78500E-06,1.379E-02
-7.78450E-06,1.419E-02
-7.78400E-06,1.379E-02
-7.78350E-06,1.379E-02
-7.78300E-06,1.379E-02
-7.78250E-06,1.379E-02
-7.78200E-06,1.379E-02
-7.78150E-06,1.419E-02
-7.78100E-06,1.419E-02
-7.78050E-06,1.419E-02
-7.78000E-06,1.419E-02
-7.77950E-06,1.419E-02
-7.77900E-06,1.419E-02
-7.77850E-06,1.419E-02
-7.77800E-06,1.419E-02
-7.77750E-06,1.459E-02
-7.77700E-06,1.419E-02
-7.77650E-06,1.419E-02
-7.77600E-06,1.419E-02
-7.77550E-06,1.419E-02
-7.77500E-06,1.419E-02
-7.77450E-06,1.459E-02
-7.77400E-06,1.419E-02
-7.77350E-06,1.459E-02
-7.77300E-06,1.419E-02
-7.77250E-06,1.459E-02
-7.77200E-06,1.419E-02
-7.77150E-06,1.459E-02
-7.77100E-06,1.459E-02
-7.77050E-06,1.459E-02
-7.77000E-06,1.459E-02
-7.76950E-06,1.459E-02
-7.76900E-06,1.459E-02
-7.76850E-06,1.459E-02
-7.76800E-06,1.459E-02
-7.76750E-06,1.459E-02
-7.76700E-06,1.459E-02
-7.76650E-06,1.499E-02
-7.76600E-06,1.499E-02
-7.76550E-06,1.539E-02
-7.76500E-06,1.499E-02
-7.76450E-06,1.539E-02
-7.76400E-06,1.499E-02
-7.76350E-06,1.539E-02
-7.76300E-06,1.499E-02
-7.76250E-06,1.499E-02
-7.76200E-06,1.459E-02
-7.76150E-06,1.499E-02
-7.76100E-06,1.459E-02
-7.76050E-06,1.499E-02
-7.76000E-06,1.499E-02
-7.75950E-06,1.539E-02
-7.75900E-06,1.499E-02
-7.75850E-06,1.539E-02
-7.75800E-06,1.499E-02
-7.75750E-06,1.499E-02
-7.75700E-06,1.459E-02
-7.75650E-06,1.459E-02
-7.75600E-06,1.499E-02
-7.75550E-06,1.459E-02
-7.75500E-06,1.459E-02
-7.75450E-06,1.499E-02
-7.75400E-06,1.499E-02
-7.75350E-06,1.539E-02
-7.75300E-06,1.539E-02
-7.75250E-06,1.579E-02
-7.75200E-06,1.539E-02
-7.75150E-06,1.539E-02
-7.75100E-06,1.539E-02
-7.75050E-06,1.539E-02
-7.75000E-06,1.539E-02
-7.74950E-06,1.539E-02
-7.74900E-06,1.499E-02
-7.74850E-06,1.539E-02
-7.74800E-06,1.539E-02
-7.74750E-06,1.539E-02
-7.74700E-06,1.539E-02
-7.74650E-06,1.539E-02
-7.74600E-06,1.539E-02
-7.74550E-06,1.539E-02
-7.74500E-06,1.539E-02
-7.74450E-06,1.539E-02
-7.74400E-06,1.579E-02
-7.74350E-06,1.579E-02
-7.74300E-06,1.579E-02
-7.74250E-06,1.619E-02
-7.74200E-06,1.579E-02
-7.74150E-06,1.579E-02
-7.74100E-06,1.579E-02
-7.74050E-06,1.579E-02
-7.74000E-06,1.579E-02
-7.73950E-06,1.619E-02
-7.73900E-06,1.579E-02
-7.73850E-06,1.619E-02
-7.73800E-06,1.579E-02
-7.73750E-06,1.619E-02
-7.73700E-06,1.579E-02
-7.73650E-06,1.659E-02
-7.73600E-06,1.619E-02
-7.73550E-06,1.619E-02
-7.73500E-06,1.619E-02
-7.73450E-06,1.659E-02
-7.73400E-06,1.619E-02
-7.73350E-06,1.619E-02
-7.73300E-06,1.659E-02
-7.73250E-06,1.619E-02
-7.73200E-06,1.619E-02
-7.73150E-06,1.619E-02
-7.73100E-06,1.579E-02
-7.73050E-06,1.619E-02
-7.73000E-06,1.579E-02
-7.72950E-06,1.619E-02
-7.72900E-06,1.579E-02
-7.72850E-06,1.619E-02
-7.72800E-06,1.619E-02
-7.72750E-06,1.659E-02
-7.72700E-06,1.619E-02
-7.72650E-06,1.619E-02
-7.72600E-06,1.579E-02
-7.72550E-06,1.619E-02
-7.72500E-06,1.619E-02
-7.72450E-06,1.619E-02
-7.72400E-06,1.579E-02
-7.72350E-06,1.619E-02
-7.72300E-06,1.619E-02
-7.72250E-06,1.619E-02
-7.72200E-06,1.619E-02
-7.72150E-06,1.659E-02
-7.72100E-06,1.659E-02
-7.72050E-06,1.659E-02
-7.72000E-06,1.659E-02
-7.71950E-06,1.659E-02
-7.71900E-06,1.659E-02
-7.71850E-06,1.659E-02
-7.71800E-06,1.699E-02
-7.71750E-06,1.659E-02
-7.71700E-06,1.659E-02
-7.71650E-06,1.659E-02
-7.71600E-06,1.659E-02
-7.71550E-06,1.659E-02
-7.71500E-06,1.619E-02
-7.71450E-06,1.659E-02
-7.71400E-06,1.619E-02
-7.71350E-06,1.659E-02
-7.71300E-06,1.659E-02
-7.71250E-06,1.699E-02
-7.71200E-06,1.699E-02
-7.71150E-06,1.699E-02
-7.71100E-06,1.699E-02
-7.71050E-06,1.699E-02
-7.71000E-06,1.699E-02
-7.70950E-06,1.699E-02
-7.70900E-06,1.659E-02
-7.70850E-06,1.659E-02
-7.70800E-06,1.659E-02
-7.70750E-06,1.699E-02
-7.70700E-06,1.659E-02
-7.70650E-06,1.699E-02
-7.70600E-06,1.699E-02
-7.70550E-06,1.699E-02
-7.70500E-06,1.699E-02
-7.70450E-06,1.699E-02
-7.70400E-06,1.699E-02
-7.70350E-06,1.699E-02
-7.70300E-06,1.699E-02
-7.70250E-06,1.659E-02
-7.70200E-06,1.699E-02
-7.70150E-06,1.699E-02
-7.70100E-06,1.699E-02
-7.70050E-06,1.699E-02
-7.70000E-06,1.699E-02
-7.69950E-06,1.699E-02
-7.69900E-06,1.699E-02
-7.69850E-06,1.699E-02
-7.69800E-06,1.699E-02
-7.69750E-06,1.699E-02
-7.69700E-06,1.699E-02
-7.69650E-06,1.699E-02
-7.69600E-06,1.699E-02
-7.69550E-06,1.739E-02
-7.69500E-06,1.739E-02
-7.69450E-06,1.739E-02
-7.69400E-06,1.739E-02
-7.69350E-06,1.739E-02
-7.69300E-06,1.739E-02
-7.69250E-06,1.739E-02
-7.69200E-06,1.699E-02
-7.69150E-06,1.699E-02
-7.69100E-06,1.699E-02
-7.69050E-06,1.739E-02
-7.69000E-06,1.699E-02
-7.68950E-06,1.739E-02
-7.68900E-06,1.699E-02
-7.68850E-06,1.699E-02
-7.68800E-06,1.739E-02
-7.68750E-06,1.779E-02
-7.68700E-06,1.739E-02
-7.68650E-06,1.779E-02
-7.68600E-06,1.739E-02
-7.68550E-06,1.739E-02
-7.68500E-06,1.739E-02
-7.68450E-06,1.739E-02
-7.68400E-06,1.739E-02
-7.68350E-06,1.739E-02
-7.68300E-06,1.739E-02
-7.68250E-06,1.739E-02
-7.68200E-06,1.739E-02
-7.68150E-06,1.739E-02
-7.68100E-06,1.739E-02
-7.68050E-06,1.739E-02
-7.68000E-06,1.739E-02
-7.67950E-06,1.699E-02
-7.67900E-06,1.699E-02
-7.67850E-06,1.739E-02
-7.67800E-06,1.739E-02
-7.67750E-06,1.739E-02
-7.67700E-06,1.739E-02
-7.67650E-06,1.739E-02
-7.67600E-06,1.739E-02
-7.67550E-06,1.739E-02
-7.67500E-06,1.779E-02
-7.67450E-06,1.739E-02
-7.67400E-06,1.739E-02
-7.67350E-06,1.779E-02
-7.67300E-06,1.779E-02
-7.67250E-06,1.779E-02
-7.67200E-06,1.779E-02
-7.67150E-06,1.779E-02
-7.67100E-06,1.779E-02
-7.67050E-06,1.779E-02
