[Hz],FFT[dBm]
0.000000000E+00,-4.34054E+01
3.051757812E+04,-4.64254E+01
6.103515625E+04,-8.61054E+01
9.155273438E+04,-8.47654E+01
1.220703125E+05,-8.55654E+01
1.525878906E+05,-9.49454E+01
1.831054688E+05,-8.82454E+01
2.136230469E+05,-8.99654E+01
2.441406250E+05,-9.83254E+01
2.746582031E+05,-9.44254E+01
3.051757812E+05,-1.00425E+02
3.356933594E+05,-9.87854E+01
3.662109375E+05,-9.09654E+01
3.967285156E+05,-8.96654E+01
4.272460938E+05,-9.56854E+01
4.577636719E+05,-8.75454E+01
4.882812500E+05,-8.49854E+01
5.187988281E+05,-8.89454E+01
5.493164062E+05,-4.50854E+01
5.798339844E+05,-5.25854E+01
6.103515625E+05,-3.24454E+01
6.408691406E+05,-3.27654E+01
6.713867188E+05,-5.06654E+01
7.019042969E+05,-4.55854E+01
7.324218750E+05,-8.11454E+01
7.629394531E+05,-8.31654E+01
7.934570312E+05,-9.05054E+01
8.239746094E+05,-9.32654E+01
8.544921875E+05,-9.17854E+01
8.850097656E+05,-1.03025E+02
9.155273438E+05,-9.16254E+01
9.460449219E+05,-9.55654E+01
9.765625000E+05,-1.04685E+02
1.007080078E+06,-9.80454E+01
1.037597656E+06,-1.01385E+02
1.068115234E+06,-9.48054E+01
1.098632812E+06,-9.14454E+01
1.129150391E+06,-9.13654E+01
1.159667969E+06,-9.18054E+01
1.190185547E+06,-9.33254E+01
1.220703125E+06,-9.53854E+01
1.251220703E+06,-8.71254E+01
1.281738281E+06,-9.48054E+01
1.312255859E+06,-9.88454E+01
1.342773438E+06,-1.06225E+02
1.373291016E+06,-1.10605E+02
1.403808594E+06,-1.02965E+02
1.434326172E+06,-9.35854E+01
1.464843750E+06,-9.13854E+01
1.495361328E+06,-9.61654E+01
1.525878906E+06,-9.24254E+01
1.556396484E+06,-9.15854E+01
1.586914062E+06,-9.45454E+01
1.617431641E+06,-9.70454E+01
1.647949219E+06,-9.97654E+01
1.678466797E+06,-1.06485E+02
1.708984375E+06,-9.65654E+01
1.739501953E+06,-9.35054E+01
1.770019531E+06,-1.00685E+02
1.800537109E+06,-1.06585E+02
1.831054688E+06,-9.53454E+01
1.861572266E+06,-8.72054E+01
1.892089844E+06,-8.96254E+01
1.922607422E+06,-1.06065E+02
1.953125000E+06,-9.73254E+01
1.983642578E+06,-9.82054E+01
2.014160156E+06,-1.09745E+02
2.044677734E+06,-1.12445E+02
2.075195312E+06,-9.99654E+01
2.105712891E+06,-1.00805E+02
2.136230469E+06,-1.10485E+02
2.166748047E+06,-1.05825E+02
2.197265625E+06,-1.06045E+02
2.227783203E+06,-9.19054E+01
2.258300781E+06,-9.04454E+01
2.288818359E+06,-9.31854E+01
2.319335938E+06,-1.00925E+02
2.349853516E+06,-1.02985E+02
2.380371094E+06,-1.02265E+02
2.410888672E+06,-1.05985E+02
2.441406250E+06,-9.78054E+01
2.471923828E+06,-1.04805E+02
2.502441406E+06,-9.34454E+01
2.532958984E+06,-9.87454E+01
2.563476562E+06,-1.02005E+02
2.593994141E+06,-9.91654E+01
2.624511719E+06,-9.51054E+01
2.655029297E+06,-9.75854E+01
2.685546875E+06,-9.77454E+01
2.716064453E+06,-9.47054E+01
2.746582031E+06,-1.00465E+02
2.777099609E+06,-1.04225E+02
2.807617188E+06,-1.02405E+02
2.838134766E+06,-1.16425E+02
2.868652344E+06,-1.10085E+02
2.899169922E+06,-9.62654E+01
2.929687500E+06,-1.06685E+02
2.960205078E+06,-9.41454E+01
2.990722656E+06,-9.07054E+01
3.021240234E+06,-9.52054E+01
3.051757812E+06,-1.13065E+02
3.082275391E+06,-9.53854E+01
3.112792969E+06,-9.74854E+01
3.143310547E+06,-1.12405E+02
3.173828125E+06,-9.90654E+01
3.204345703E+06,-9.41054E+01
3.234863281E+06,-1.01605E+02
3.265380859E+06,-9.53454E+01
3.295898438E+06,-8.72654E+01
3.326416016E+06,-8.57054E+01
3.356933594E+06,-9.36054E+01
3.387451172E+06,-9.89654E+01
3.417968750E+06,-9.47454E+01
3.448486328E+06,-9.91654E+01
3.479003906E+06,-9.70254E+01
3.509521484E+06,-9.39054E+01
3.540039062E+06,-1.00405E+02
3.570556641E+06,-1.07485E+02
3.601074219E+06,-1.10505E+02
3.631591797E+06,-9.82454E+01
3.662109375E+06,-9.36054E+01
3.692626953E+06,-9.30254E+01
3.723144531E+06,-9.74454E+01
3.753662109E+06,-1.08325E+02
3.784179688E+06,-1.00585E+02
3.814697266E+06,-9.76854E+01
3.845214844E+06,-9.98854E+01
3.875732422E+06,-9.62654E+01
3.906250000E+06,-9.59854E+01
3.936767578E+06,-9.46654E+01
3.967285156E+06,-9.34854E+01
3.997802734E+06,-9.91654E+01
4.028320312E+06,-1.01345E+02
4.058837891E+06,-9.86054E+01
4.089355469E+06,-9.93054E+01
4.119873047E+06,-1.02085E+02
4.150390625E+06,-9.63054E+01
4.180908203E+06,-9.78654E+01
4.211425781E+06,-1.05725E+02
4.241943359E+06,-1.04285E+02
4.272460938E+06,-9.94054E+01
4.302978516E+06,-9.40254E+01
4.333496094E+06,-9.55454E+01
4.364013672E+06,-9.85654E+01
4.394531250E+06,-9.39654E+01
4.425048828E+06,-9.38054E+01
4.455566406E+06,-1.02925E+02
4.486083984E+06,-9.77054E+01
4.516601562E+06,-1.02705E+02
4.547119141E+06,-9.95054E+01
4.577636719E+06,-9.74054E+01
4.608154297E+06,-9.49854E+01
4.638671875E+06,-9.17454E+01
4.669189453E+06,-1.04225E+02
4.699707031E+06,-9.82454E+01
4.730224609E+06,-9.63454E+01
4.760742188E+06,-9.29254E+01
4.791259766E+06,-9.45454E+01
4.821777344E+06,-9.95854E+01
4.852294922E+06,-1.01305E+02
4.882812500E+06,-1.04705E+02
4.913330078E+06,-1.24885E+02
4.943847656E+06,-1.17905E+02
4.974365234E+06,-9.41054E+01
5.004882812E+06,-9.16054E+01
5.035400391E+06,-1.18265E+02
5.065917969E+06,-1.05885E+02
5.096435547E+06,-1.13605E+02
5.126953125E+06,-1.00825E+02
5.157470703E+06,-9.79454E+01
5.187988281E+06,-1.06985E+02
5.218505859E+06,-9.46454E+01
5.249023438E+06,-9.42054E+01
5.279541016E+06,-1.01585E+02
5.310058594E+06,-1.04845E+02
5.340576172E+06,-9.95454E+01
5.371093750E+06,-9.69454E+01
5.401611328E+06,-1.00185E+02
5.432128906E+06,-1.03565E+02
5.462646484E+06,-1.04665E+02
5.493164062E+06,-1.08865E+02
5.523681641E+06,-1.00705E+02
5.554199219E+06,-9.74454E+01
5.584716797E+06,-9.73454E+01
5.615234375E+06,-9.91254E+01
5.645751953E+06,-9.55854E+01
5.676269531E+06,-9.53854E+01
5.706787109E+06,-1.02625E+02
5.737304688E+06,-1.00565E+02
5.767822266E+06,-1.10665E+02
5.798339844E+06,-1.11425E+02
5.828857422E+06,-1.01705E+02
5.859375000E+06,-9.53254E+01
5.889892578E+06,-9.49254E+01
5.920410156E+06,-9.81654E+01
5.950927734E+06,-1.00445E+02
5.981445312E+06,-1.25765E+02
6.011962891E+06,-1.00505E+02
6.042480469E+06,-1.07625E+02
6.072998047E+06,-1.02425E+02
6.103515625E+06,-9.36254E+01
6.134033203E+06,-9.21854E+01
6.164550781E+06,-9.68054E+01
6.195068359E+06,-1.07485E+02
6.225585938E+06,-1.00845E+02
6.256103516E+06,-9.83254E+01
6.286621094E+06,-9.78054E+01
6.317138672E+06,-9.82054E+01
6.347656250E+06,-9.89454E+01
6.378173828E+06,-9.94454E+01
6.408691406E+06,-9.48454E+01
6.439208984E+06,-9.38054E+01
6.469726562E+06,-9.62254E+01
6.500244141E+06,-9.93054E+01
6.530761719E+06,-9.74854E+01
6.561279297E+06,-9.31654E+01
6.591796875E+06,-1.05145E+02
6.622314453E+06,-1.05905E+02
6.652832031E+06,-1.14645E+02
6.683349609E+06,-9.84254E+01
6.713867188E+06,-9.78454E+01
6.744384766E+06,-1.11485E+02
