Model,TBS2074B
Firmware Version,v1.31.16

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,S
Horizontal Scale,2e-05,,,,Horizontal Scale,0.0002
Sample Interval,0,,,,Sample Interval,1.6e-06
Filter Frequency,2e+08,,,,Filter Frequency,2e+08
Record Length,2000,,,,Record Length,2000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,1,1,1,,Vertical Scale,0.02
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,REF1
-5.00000000000e-04,-5,2.96,2.52,,1.154e-03,0.054
-5.00000000000e-04,-5,2.92,2.52,,1.155e-03,0.054
-5.00000000000e-04,-5,2.92,2.52,,1.157e-03,0.054
-5.00000000000e-04,-5,2.92,2.52,,1.158e-03,0.054
-5.00000000000e-04,-5,2.92,2.52,,1.160e-03,0.054
-5.00000000000e-04,-5,2.92,2.52,,1.162e-03,0.054
-5.00000000000e-04,-5,2.88,2.52,,1.163e-03,0.054
-5.00000000000e-04,-5,2.88,2.52,,1.165e-03,0.054
-5.00000000000e-04,-5,2.88,2.52,,1.166e-03,0.054
-5.00000000000e-04,-5,2.88,2.52,,1.168e-03,0.054
-5.00000000000e-04,-5,2.88,2.52,,1.170e-03,0.0548
-5.00000000000e-04,-5,2.84,2.52,,1.171e-03,0.054
-5.00000000000e-04,-5,2.84,2.52,,1.173e-03,0.0548
-5.00000000000e-04,-5,2.84,2.52,,1.174e-03,0.054
-5.00000000000e-04,-5,2.84,2.52,,1.176e-03,0.054
-5.00000000000e-04,-5,2.84,2.52,,1.178e-03,0.054
-5.00000000000e-04,-5,2.84,2.52,,1.179e-03,0.0548
-5.00000000000e-04,-5,2.8,2.52,,1.181e-03,0.0548
-5.00000000000e-04,-5,2.8,2.52,,1.182e-03,0.0548
-5.00000000000e-04,-5,2.8,2.52,,1.184e-03,0.0548
-5.00000000000e-04,-5,2.8,2.52,,1.186e-03,0.0548
-5.00000000000e-04,-5,2.76,2.52,,1.187e-03,0.0548
-5.00000000000e-04,-5,2.8,2.52,,1.189e-03,0.054
-5.00000000000e-04,-5,2.76,2.52,,1.190e-03,0.054
-5.00000000000e-04,-5,2.76,2.52,,1.192e-03,0.0548
-5.00000000000e-04,-5,2.76,2.52,,1.194e-03,0.0548
-5.00000000000e-04,-5,2.76,2.52,,1.195e-03,0.0548
-5.00000000000e-04,-5,2.76,2.52,,1.197e-03,0.0548
-5.00000000000e-04,-5,2.72,2.52,,1.198e-03,0.0548
-5.00000000000e-04,-5,2.72,2.52,,1.200e-03,0.0548
-5.00000000000e-04,-5,2.68,2.52,,1.202e-03,0.0548
