YAngle	Co_1	Co_2	Co_3	Co_4	Si_1	Si_2	Si_3	Si_4	Si_5	Si_6	Si_7	Si_8
0	8903	2974	98	5131	158302	162887	171253	159425	172186	158604	156691	159555
2	8587	2857	108	5166	153386	158391	170675	159287	171806	157415	156570	159766
4	8552	2666	110	5232	154000	158809	171184	158534	172759	157271	156057	158243
6	8412	2628	171	5356	153404	158288	172342	158111	172751	157210	156883	157459
8	8274	2373	178	5390	153848	157232	172026	157882	172677	156276	157170	157691
10	8238	2238	255	5415	154816	155612	171772	156808	171948	155009	156714	156724
12	8154	2062	291	5495	154300	154928	172745	155203	171679	154773	157058	155971
14	7753	1907	346	5477	154355	154015	173291	154280	172429	153590	156905	154467
16	7609	1742	401	5480	152908	153332	173094	154425	172231	152873	157351	154110
18	7486	1613	494	5541	153459	152397	173067	152683	172523	152066	157048	152283
20	7188	1443	560	5509	153245	151212	172286	151680	172350	151028	157114	151314
22	6790	1340	631	5510	152844	150434	172490	150632	172629	148793	156644	150200
24	6497	1162	691	5343	152834	148209	172354	149703	173573	148313	157068	149541
26	6553	1098	824	5241	153323	147806	173256	147725	173081	146729	156441	148318
28	6129	1010	896	5207	152187	146283	173269	146915	173757	145350	157437	146505
30	5748	939	908	5163	152835	144154	171515	145391	173062	144191	156250	145006
32	5464	803	1104	5173	152631	142942	171612	143158	172828	143077	157279	143605
34	5305	728	1142	5000	152542	141049	170977	142821	173102	140189	156790	142041
36	5084	647	1254	4901	153411	139892	171437	140754	173500	140003	156917	140050
38	4701	592	1316	4695	152731	137676	170881	139794	173376	138317	156509	139062
40	4473	583	1423	4622	153540	137562	171662	138399	173188	136785	157015	138056
42	4027	493	1535	4498	152977	135097	170782	136746	172483	134934	156807	136399
44	3741	520	1614	4328	152678	133618	171520	135274	172627	133460	157159	135090
46	3309	428	1750	4230	153057	131854	170883	134432	171893	132129	157281	132684
48	3117	414	1741	4042	153236	196604	171070	132227	171790	130984	157751	132166
50	2888	455	1880	3881	153244	130135	170963	131177	171479	129817	157447	130829
52	2601	460	1968	3697	153747	128191	171228	130471	171694	129837	156841	129971
54	2181	514	2163	3496	153165	126687	170483	128055	171631	127815	157105	127706
56	1997	559	2049	3297	152690	125870	171210	127296	172154	126245	157200	126977
58	1837	596	2187	3127	153092	124183	170652	125859	172157	125189	157202	126318
60	1538	671	2310	3040	152719	122797	171738	125334	172599	124558	157629	124718
62	1307	754	2433	2868	152683	122598	171301	124154	172007	123162	158071	123941
64	1159	894	2467	2649	153041	121283	171028	123103	172285	121939	157850	122970
66	869	863	2479	2436	152322	121011	171698	122408	172228	121421	158410	122450
68	734	994	2624	2368	152640	119752	171825	121388	171801	121024	157940	121956
70	578	1207	2673	2086	152571	120713	171150	120738	173082	120476	157010	120633
72	482	1331	2706	1963	152617	119356	170930	119810	172852	119086	157156	119979
74	333	1400	2742	1827	152527	119010	171420	119757	173055	118975	157917	119832
76	245	1512	2767	1629	152777	118616	170122	119609	173349	119038	156261	119705
78	167	1621	2836	1534	153020	118726	170913	119569	173046	118725	157252	119228
80	110	1829	2816	1361	152868	118359	172205	119065	173504	119113	157251	119293
82	68	1944	2946	1185	152828	118719	172360	119466	173267	118799	157006	119616
84	45	2123	2883	1115	152685	118439	172169	120175	173126	118003	158990	119420
86	43	2215	2844	950	152622	119263	171682	119172	172962	119126	157432	120171
88	69	2491	2859	825	153135	119648	171673	119801	172722	119083	157250	121047
90	124	2643	2904	721	152972	119296	171243	120430	173189	119459	157770	120501
92	186	2762	2720	640	152858	119613	169998	120746	173362	119601	158130	121030
94	261	2896	2901	551	152834	120769	170879	120881	172489	119833	158254	121341
96	349	2962	2814	448	153026	120831	170905	121669	172940	121255	158590	122232
98	507	3243	2739	434	152790	121443	171400	122594	173158	122592	158854	122408
100	631	3423	2635	374	153337	122055	172188	123206	172930	122888	159178	124062
102	771	3479	2764	340	152734	123137	171550	124121	173790	124138	158056	124135
104	969	3731	2646	321	153897	124492	171406	124822	173111	124693	158293	125666
106	1179	3830	2498	282	153163	125461	173236	126299	172842	125596	158545	126499
108	1369	3972	2448	295	153007	126042	171293	127097	172390	127727	158849	127334
110	1660	4043	2504	320	153356	128305	171012	128582	173524	127968	157668	128810
112	1808	4229	2326	319	152682	129295	171601	130476	174617	129295	158784	130450
