Model,MSO4104B
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,1e-05
Horizontal Delay,0
Sample Interval,1e-08
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.05
Vertical Position,-3.28
,
,
,
Label,
TIME,CH1
-5.000000e-05,0.002
-4.999000e-05,0.004
-4.998000e-05,-0.006
-4.997000e-05,0.004
-4.996000e-05,-0.002
-4.995000e-05,-0.002
-4.994000e-05,-0.004
-4.993000e-05,-0.002
-4.992000e-05,-0.002
-4.991000e-05,-0.002
-4.990000e-05,-0.002
-4.989000e-05,-0.002
-4.988000e-05,0.006
-4.987000e-05,2.22045e-17
-4.986000e-05,2.22045e-17
-4.985000e-05,-0.002
-4.984000e-05,-0.002
-4.983000e-05,2.22045e-17
-4.982000e-05,0.002
-4.981000e-05,-0.002
-4.980000e-05,0.026
-4.979000e-05,-0.002
-4.978000e-05,0.002
-4.977000e-05,0.004
-4.976000e-05,0.002
-4.975000e-05,-0.002
-4.974000e-05,2.22045e-17
-4.973000e-05,-0.002
-4.972000e-05,2.22045e-17
-4.971000e-05,2.22045e-17
-4.970000e-05,2.22045e-17
-4.969000e-05,2.22045e-17
-4.968000e-05,2.22045e-17
-4.967000e-05,-0.002
-4.966000e-05,2.22045e-17
-4.965000e-05,-0.002
-4.964000e-05,-0.002
-4.963000e-05,-0.002
-4.962000e-05,0.002
-4.961000e-05,2.22045e-17
-4.960000e-05,-0.002
-4.959000e-05,2.22045e-17
-4.958000e-05,0.09
-4.957000e-05,0.004
-4.956000e-05,2.22045e-17
-4.955000e-05,-0.002
-4.954000e-05,-0.002
-4.953000e-05,2.22045e-17
-4.952000e-05,2.22045e-17
-4.951000e-05,-0.002
-4.950000e-05,-0.004
-4.949000e-05,2.22045e-17
-4.948000e-05,2.22045e-17
-4.947000e-05,-0.002
-4.946000e-05,0.002
-4.945000e-05,2.22045e-17
-4.944000e-05,0.002
-4.943000e-05,2.22045e-17
-4.942000e-05,-0.002
-4.941000e-05,0.002
-4.940000e-05,2.22045e-17
-4.939000e-05,-0.002
-4.938000e-05,0.004
-4.937000e-05,-0.002
-4.936000e-05,2.22045e-17
-4.935000e-05,-0.002
-4.934000e-05,0.002
-4.933000e-05,2.22045e-17
-4.932000e-05,0.002
-4.931000e-05,2.22045e-17
-4.930000e-05,0.134
-4.929000e-05,0.01
-4.928000e-05,0.002
-4.927000e-05,-0.008
-4.926000e-05,-0.002
-4.925000e-05,0.12
-4.924000e-05,0.006
-4.923000e-05,0.002
-4.922000e-05,-0.002
-4.921000e-05,0.002
-4.920000e-05,0.002
-4.919000e-05,-0.002
-4.918000e-05,0.002
-4.917000e-05,0.004
-4.916000e-05,0.008
-4.915000e-05,2.22045e-17
-4.914000e-05,-0.002
-4.913000e-05,0.026
-4.912000e-05,0.002
-4.911000e-05,-0.006
-4.910000e-05,0.004
-4.909000e-05,2.22045e-17
-4.908000e-05,2.22045e-17
-4.907000e-05,2.22045e-17
-4.906000e-05,2.22045e-17
-4.905000e-05,2.22045e-17
-4.904000e-05,2.22045e-17
-4.903000e-05,0.002
-4.902000e-05,0.002
-4.901000e-05,0.002
-4.900000e-05,0.002
-4.899000e-05,-0.004
-4.898000e-05,2.22045e-17
-4.897000e-05,-0.002
-4.896000e-05,-0.002
-4.895000e-05,0.002
-4.894000e-05,2.22045e-17
-4.893000e-05,-0.002
-4.892000e-05,0.004
-4.891000e-05,0.002
-4.890000e-05,0.002
-4.889000e-05,2.22045e-17
-4.888000e-05,-0.002
-4.887000e-05,0.002
-4.886000e-05,0.002
-4.885000e-05,-0.004
-4.884000e-05,0.096
-4.883000e-05,0.008
-4.882000e-05,2.22045e-17
-4.881000e-05,-0.006
-4.880000e-05,2.22045e-17
-4.879000e-05,0.006
-4.878000e-05,2.22045e-17
-4.877000e-05,-0.002
-4.876000e-05,2.22045e-17
-4.875000e-05,0.002
-4.874000e-05,-0.002
-4.873000e-05,0.012
-4.872000e-05,-0.002
-4.871000e-05,-0.002
-4.870000e-05,-0.002
-4.869000e-05,-0.002
-4.868000e-05,0.002
-4.867000e-05,-0.004
-4.866000e-05,2.22045e-17
-4.865000e-05,0.002
-4.864000e-05,2.22045e-17
-4.863000e-05,0.002
-4.862000e-05,2.22045e-17
-4.861000e-05,0.002
-4.860000e-05,2.22045e-17
-4.859000e-05,0.002
-4.858000e-05,0.002
-4.857000e-05,-0.004
-4.856000e-05,2.22045e-17
-4.855000e-05,2.22045e-17
-4.854000e-05,2.22045e-17
-4.853000e-05,2.22045e-17
-4.852000e-05,-0.004
-4.851000e-05,0.048
-4.850000e-05,0.008
-4.849000e-05,-0.006
-4.848000e-05,-0.002
-4.847000e-05,0.002
-4.846000e-05,0.068
-4.845000e-05,0.002
-4.844000e-05,2.22045e-17
-4.843000e-05,-0.004
-4.842000e-05,0.002
-4.841000e-05,-0.004
-4.840000e-05,0.004
-4.839000e-05,-0.002
-4.838000e-05,0.004
-4.837000e-05,-0.002
-4.836000e-05,-0.004
-4.835000e-05,2.22045e-17
-4.834000e-05,0.002
-4.833000e-05,2.22045e-17
-4.832000e-05,2.22045e-17
-4.831000e-05,0.008
-4.830000e-05,-0.002
-4.829000e-05,2.22045e-17
-4.828000e-05,0.002
-4.827000e-05,2.22045e-17
-4.826000e-05,2.22045e-17
-4.825000e-05,2.22045e-17
-4.824000e-05,2.22045e-17
-4.823000e-05,2.22045e-17
-4.822000e-05,0.002
-4.821000e-05,0.004
-4.820000e-05,-0.004
-4.819000e-05,2.22045e-17
-4.818000e-05,2.22045e-17
-4.817000e-05,-0.002
-4.816000e-05,-0.002
-4.815000e-05,2.22045e-17
-4.814000e-05,2.22045e-17
-4.813000e-05,-0.004
-4.812000e-05,0.004
-4.811000e-05,-0.002
-4.810000e-05,-0.002
-4.809000e-05,-0.004
-4.808000e-05,2.22045e-17
-4.807000e-05,0.028
-4.806000e-05,0.004
-4.805000e-05,-0.008
-4.804000e-05,-0.002
-4.803000e-05,2.22045e-17
-4.802000e-05,2.22045e-17
-4.801000e-05,-0.004
-4.800000e-05,2.22045e-17
-4.799000e-05,2.22045e-17
-4.798000e-05,2.22045e-17
-4.797000e-05,-0.002
-4.796000e-05,0.008
-4.795000e-05,-0.004
-4.794000e-05,-0.002
-4.793000e-05,2.22045e-17
-4.792000e-05,-0.002
-4.791000e-05,2.22045e-17
-4.790000e-05,0.004
-4.789000e-05,0.002
-4.788000e-05,0.002
-4.787000e-05,2.22045e-17
-4.786000e-05,-0.002
-4.785000e-05,0.014
-4.784000e-05,-0.002
-4.783000e-05,0.004
-4.782000e-05,-0.002
-4.781000e-05,2.22045e-17
-4.780000e-05,-0.004
-4.779000e-05,0.002
-4.778000e-05,0.004
-4.777000e-05,0.002
-4.776000e-05,0.004
-4.775000e-05,0.002
-4.774000e-05,2.22045e-17
-4.773000e-05,0.006
-4.772000e-05,0.002
-4.771000e-05,0.012
-4.770000e-05,0.004
-4.769000e-05,-0.004
-4.768000e-05,0.006
-4.767000e-05,-0.006
-4.766000e-05,0.004
-4.765000e-05,0.002
-4.764000e-05,-0.002
-4.763000e-05,-0.002
-4.762000e-05,2.22045e-17
-4.761000e-05,-0.002
-4.760000e-05,0.002
-4.759000e-05,2.22045e-17
-4.758000e-05,-0.002
-4.757000e-05,-0.002
-4.756000e-05,-0.002
-4.755000e-05,0.002
-4.754000e-05,0.002
-4.753000e-05,0.002
-4.752000e-05,0.046
-4.751000e-05,0.006
-4.750000e-05,-0.002
-4.749000e-05,-0.002
-4.748000e-05,2.22045e-17
-4.747000e-05,0.002
-4.746000e-05,-0.002
-4.745000e-05,2.22045e-17
-4.744000e-05,-0.002
-4.743000e-05,-0.002
-4.742000e-05,2.22045e-17
-4.741000e-05,0.028
-4.740000e-05,0.006
-4.739000e-05,-0.002
-4.738000e-05,-0.002
-4.737000e-05,2.22045e-17
-4.736000e-05,2.22045e-17
-4.735000e-05,-0.002
-4.734000e-05,-0.002
-4.733000e-05,0.02
-4.732000e-05,0.074
-4.731000e-05,0.004
-4.730000e-05,-0.008
-4.729000e-05,2.22045e-17
-4.728000e-05,2.22045e-17
-4.727000e-05,2.22045e-17
-4.726000e-05,0.034
-4.725000e-05,0.004
-4.724000e-05,-0.002
-4.723000e-05,2.22045e-17
-4.722000e-05,2.22045e-17
-4.721000e-05,0.002
-4.720000e-05,-0.002
-4.719000e-05,-0.002
-4.718000e-05,0.004
-4.717000e-05,2.22045e-17
-4.716000e-05,0.002
-4.715000e-05,-0.002
-4.714000e-05,0.002
-4.713000e-05,-0.006
-4.712000e-05,0.06
-4.711000e-05,0.002
-4.710000e-05,-0.006
-4.709000e-05,-0.002
-4.708000e-05,0.004
-4.707000e-05,-0.002
-4.706000e-05,0.008
-4.705000e-05,-0.002
-4.704000e-05,0.006
-4.703000e-05,-0.002
-4.702000e-05,-0.004
-4.701000e-05,2.22045e-17
-4.700000e-05,0.002
-4.699000e-05,2.22045e-17
-4.698000e-05,2.22045e-17
-4.697000e-05,0.004
-4.696000e-05,0.002
-4.695000e-05,2.22045e-17
-4.694000e-05,-0.002
-4.693000e-05,0.05
-4.692000e-05,0.006
-4.691000e-05,2.22045e-17
-4.690000e-05,-0.002
-4.689000e-05,2.22045e-17
-4.688000e-05,2.22045e-17
-4.687000e-05,0.006
-4.686000e-05,0.002
-4.685000e-05,0.004
-4.684000e-05,-0.002
-4.683000e-05,-0.002
-4.682000e-05,0.002
-4.681000e-05,0.002
-4.680000e-05,0.004
-4.679000e-05,2.22045e-17
-4.678000e-05,-0.002
-4.677000e-05,-0.002
-4.676000e-05,0.004
-4.675000e-05,0.004
-4.674000e-05,0.006
-4.673000e-05,-0.01
-4.672000e-05,0.038
-4.671000e-05,0.01
-4.670000e-05,0.004
-4.669000e-05,-0.002
-4.668000e-05,2.22045e-17
-4.667000e-05,-0.002
-4.666000e-05,0.028
-4.665000e-05,-0.008
-4.664000e-05,0.002
-4.663000e-05,0.006
-4.662000e-05,2.22045e-17
-4.661000e-05,2.22045e-17
-4.660000e-05,2.22045e-17
-4.659000e-05,0.018
-4.658000e-05,-0.01
-4.657000e-05,2.22045e-17
-4.656000e-05,0.004
-4.655000e-05,-0.004
-4.654000e-05,-0.002
-4.653000e-05,0.02
-4.652000e-05,0.002
-4.651000e-05,0.024
-4.650000e-05,-0.008
-4.649000e-05,2.22045e-17
-4.648000e-05,0.028
-4.647000e-05,0.004
-4.646000e-05,2.22045e-17
-4.645000e-05,-0.002
-4.644000e-05,-0.002
-4.643000e-05,0.074
-4.642000e-05,0.004
-4.641000e-05,0.014
-4.640000e-05,-0.002
-4.639000e-05,0.004
-4.638000e-05,-0.002
-4.637000e-05,2.22045e-17
-4.636000e-05,0.03
-4.635000e-05,0.004
-4.634000e-05,0.002
-4.633000e-05,2.22045e-17
-4.632000e-05,2.22045e-17
-4.631000e-05,-0.002
-4.630000e-05,-0.002
-4.629000e-05,-0.002
-4.628000e-05,2.22045e-17
-4.627000e-05,-0.002
-4.626000e-05,-0.002
-4.625000e-05,2.22045e-17
-4.624000e-05,-0.002
-4.623000e-05,2.22045e-17
-4.622000e-05,0.006
-4.621000e-05,-0.006
-4.620000e-05,0.052
-4.619000e-05,0.002
-4.618000e-05,-0.008
-4.617000e-05,0.002
-4.616000e-05,2.22045e-17
-4.615000e-05,-0.002
-4.614000e-05,-0.002
-4.613000e-05,2.22045e-17
-4.612000e-05,0.002
-4.611000e-05,0.002
-4.610000e-05,2.22045e-17
-4.609000e-05,0.002
-4.608000e-05,-0.004
-4.607000e-05,0.002
-4.606000e-05,0.002
-4.605000e-05,-0.002
-4.604000e-05,-0.002
-4.603000e-05,-0.002
-4.602000e-05,-0.002
-4.601000e-05,-0.002
-4.600000e-05,2.22045e-17
-4.599000e-05,-0.002
-4.598000e-05,2.22045e-17
-4.597000e-05,0.002
-4.596000e-05,-0.002
-4.595000e-05,0.024
-4.594000e-05,-0.006
-4.593000e-05,-0.002
-4.592000e-05,0.002
-4.591000e-05,2.22045e-17
-4.590000e-05,-0.004
-4.589000e-05,0.004
-4.588000e-05,0.032
-4.587000e-05,0.072
-4.586000e-05,0.006
-4.585000e-05,-0.014
-4.584000e-05,0.002
-4.583000e-05,2.22045e-17
-4.582000e-05,-0.004
-4.581000e-05,0.006
-4.580000e-05,2.22045e-17
-4.579000e-05,0.006
-4.578000e-05,2.22045e-17
-4.577000e-05,-0.004
-4.576000e-05,2.22045e-17
-4.575000e-05,2.22045e-17
-4.574000e-05,-0.004
-4.573000e-05,-0.004
-4.572000e-05,2.22045e-17
-4.571000e-05,2.22045e-17
-4.570000e-05,-0.004
-4.569000e-05,0.002
-4.568000e-05,0.002
-4.567000e-05,0.004
-4.566000e-05,0.004
-4.565000e-05,-0.002
-4.564000e-05,-0.004
-4.563000e-05,0.016
-4.562000e-05,-0.008
-4.561000e-05,2.22045e-17
-4.560000e-05,0.002
-4.559000e-05,-0.002
-4.558000e-05,2.22045e-17
-4.557000e-05,0.004
-4.556000e-05,0.002
-4.555000e-05,2.22045e-17
-4.554000e-05,2.22045e-17
-4.553000e-05,2.22045e-17
-4.552000e-05,0.002
-4.551000e-05,2.22045e-17
-4.550000e-05,0.002
-4.549000e-05,-0.002
-4.548000e-05,-0.002
-4.547000e-05,-0.002
-4.546000e-05,2.22045e-17
-4.545000e-05,2.22045e-17
-4.544000e-05,0.002
-4.543000e-05,2.22045e-17
-4.542000e-05,0.002
-4.541000e-05,2.22045e-17
-4.540000e-05,2.22045e-17
-4.539000e-05,-0.002
-4.538000e-05,0.002
-4.537000e-05,2.22045e-17
-4.536000e-05,0.002
-4.535000e-05,2.22045e-17
-4.534000e-05,0.004
-4.533000e-05,2.22045e-17
-4.532000e-05,0.016
-4.531000e-05,0.002
-4.530000e-05,0.004
-4.529000e-05,-0.002
-4.528000e-05,-0.002
-4.527000e-05,2.22045e-17
-4.526000e-05,2.22045e-17
-4.525000e-05,0.002
-4.524000e-05,0.02
-4.523000e-05,0.004
-4.522000e-05,0.04
-4.521000e-05,0.002
-4.520000e-05,2.22045e-17
-4.519000e-05,2.22045e-17
-4.518000e-05,-0.004
-4.517000e-05,0.052
-4.516000e-05,0.006
-4.515000e-05,2.22045e-17
-4.514000e-05,-0.002
-4.513000e-05,2.22045e-17
-4.512000e-05,2.22045e-17
-4.511000e-05,-0.002
-4.510000e-05,-0.002
-4.509000e-05,2.22045e-17
-4.508000e-05,0.066
-4.507000e-05,0.006
-4.506000e-05,0.062
-4.505000e-05,0.002
-4.504000e-05,0.002
-4.503000e-05,-0.002
-4.502000e-05,2.22045e-17
-4.501000e-05,2.22045e-17
-4.500000e-05,0.002
-4.499000e-05,-0.002
-4.498000e-05,-0.002
-4.497000e-05,-0.002
-4.496000e-05,2.22045e-17
-4.495000e-05,2.22045e-17
-4.494000e-05,0.002
-4.493000e-05,0.076
-4.492000e-05,0.004
-4.491000e-05,-0.006
-4.490000e-05,-0.004
-4.489000e-05,2.22045e-17
-4.488000e-05,2.22045e-17
-4.487000e-05,2.22045e-17
-4.486000e-05,2.22045e-17
-4.485000e-05,-0.002
-4.484000e-05,2.22045e-17
-4.483000e-05,2.22045e-17
-4.482000e-05,0.002
-4.481000e-05,0.092
-4.480000e-05,0.01
